x,y,Amount
33.9993805,-118.2542925,826
33.9993695,-118.2499415,1061
33.999104,-118.2430855,793
33.992114,-118.242838,530
33.992164,-118.2520985,811
33.99828,-118.260835,855
33.998151,-118.269586,939
33.9922445,-118.2695665,1010
33.9925325,-118.2608205,937
34.016069,-118.2760825,785
34.014521,-118.2980095,922
34.014515,-118.28932,811
34.0145435,-118.304539,1033
34.014552,-118.312994,826
34.0072765,-118.310826,918
34.00727,-118.2980435,872
34.007373,-118.2893345,863
34.007429,-118.2840635,761
34.0074525,-118.27748,826
33.9996995,-118.277466,825
33.9994895,-118.2893225,768
33.9997375,-118.28378,868
34.0016535,-118.2980375,892
33.9975775,-118.29803,939
33.999376,-118.310834,887
33.992088,-118.3107815,945
33.9920885,-118.298021,919
33.992427,-118.285947,841
33.9924525,-118.2771805,854
34.011672,-118.322292,826
34.016776,-118.331087,1031
34.007159,-118.3293635,1049
33.997504,-118.3246435,1062
34.001849,-118.32479,902
33.9926585,-118.327201,966
33.987231,-118.327693,918
33.9818325,-118.3220865,1107
33.981784,-118.328655,785
33.981753,-118.3346945,826
33.9855355,-118.348147,1414
33.9744985,-118.322127,1214
33.972711,-118.3308415,990
34.009386,-118.367527,1116
34.0120535,-118.3418225,906
34.0167105,-118.352691,929
34.0176365,-118.347316,912
34.014877,-118.349074,939
34.0049835,-118.349179,1293
33.9855155,-118.291439,894
33.9856665,-118.283741,872
33.985727,-118.299118,1038
33.985482,-118.310035,891
33.978464,-118.3111655,929
33.9784655,-118.2947775,1176
33.978462,-118.3013325,689
33.978414,-118.289297,825
33.978508,-118.283801,851
33.972693,-118.28613,952
33.9692975,-118.286182,991
33.9709525,-118.298091,798
33.970932,-118.311186,890
33.945472,-118.3089905,1074
33.963625,-118.3111985,971
33.963641,-118.2981045,966
33.9660195,-118.2861825,918
33.962152,-118.2861365,849
33.956361,-118.309005,860
33.9857845,-118.277227,957
33.985588,-118.265182,1005
33.9785445,-118.27732,840
33.978568,-118.2717375,861
33.9785785,-118.262973,1052
33.9729715,-118.2629705,845
33.9693555,-118.262964,1013
33.972754,-118.2751255,888
33.9695945,-118.2751195,793
33.9660325,-118.2751155,954
33.96229,-118.275105,895
33.96606,-118.2629565,877
33.962406,-118.2629525,959
33.9583205,-118.263794,686
33.954224,-118.263804,1082
33.9559485,-118.2761875,988
33.9564355,-118.2859575,843
33.949905,-118.2854905,927
33.9445585,-118.285496,837
33.9469185,-118.275892,984
33.946958,-118.2683925,939
33.947574,-118.2593445,1176
33.9385955,-118.261821,1104
33.9348825,-118.261859,1031
33.929254,-118.2671865,954
33.925538,-118.2615615,1082
33.936481,-118.271695,1257
33.9364705,-118.276946,1042
33.9402795,-118.2857015,922
33.9333785,-118.2856645,879
33.926092,-118.2860545,917
33.925504,-118.275396,1610
33.9392665,-118.250222,875
33.945696,-118.2321075,559
33.948204,-118.238625,799
33.948744,-118.246174,865
33.932497,-118.2502625,456
33.9363625,-118.242647,815
33.938704,-118.2338885,995
33.933448,-118.234588,675
34.110602,-118.395214,2000
34.1110565,-118.422746,2000
34.108261,-118.4432895,2000
34.1022655,-118.445475,1100
34.1015635,-118.468744,1761
34.10129,-118.494583,2000
34.0753195,-118.477468,1665
34.0673175,-118.486919,2000
34.0876735,-118.5072195,2000
34.049658,-118.5202905,2000
34.073806,-118.5567815,2000
34.05192037,-118.5490685,1832
34.0424942,-118.5425851,2000
34.03867557,-118.5269907,1867
34.0430379,-118.5061199,2000
34.0560275,-118.4819375,2000
34.059953,-118.4686465,1830
34.0553735,-118.466128,1729
34.0503875,-118.464617,1639
34.046932,-118.477869,1765
34.073502,-118.42787,1919
34.067255,-118.4366455,1230
34.0617355,-118.4410225,1757
34.0709425,-118.4463495,
34.067264,-118.4533525,1615
34.0674805,-118.451101,1491
34.0631275,-118.4493085,1319
34.06678,-118.4636105,1239
34.070607,-118.4605875,1790
34.056185,-118.443321,1739
34.0513145,-118.4415325,1960
34.0558665,-118.433093,1796
34.060621,-118.434347,2000
34.0618485,-118.423284,1962
34.052737,-118.4245685,1752
34.0453165,-118.4373595,1431
34.045239,-118.449709,1135
34.042643,-118.465557,1426
34.047607,-118.4565715,1484
34.0456605,-118.460472,1838
34.041347,-118.456076,1253
34.0373665,-118.4626315,1382
34.034536,-118.4525605,1369
34.0387565,-118.444387,1406
34.0404165,-118.430463,1364
34.0567325,-118.413721,2000
34.047558,-118.4201495,1847
34.043327,-118.4043575,1763
34.0528745,-118.3952305,1574
34.0402885,-118.414036,1523
34.0419315,-118.3933555,2000
34.041783,-118.379673,1166
34.043301,-118.384325,1296
34.036058,-118.3859215,1249
34.0330585,-118.3968355,1318
34.020876,-118.4064875,1210
34.0274735,-118.4121435,1171
34.0217235,-118.4015665,1200
34.025156,-118.403135,1289
34.0277405,-118.4066145,1267
34.026374,-118.395677,1224
34.0329455,-118.380005,1151
34.039747,-118.3704125,1151
34.034177,-118.427171,1845
34.031579,-118.4431825,1327
34.023895,-118.4412965,1611
34.010017,-118.4474055,2000
34.01663,-118.4375635,1398
34.0213795,-118.4310805,1424
34.0262225,-118.419751,1439
34.025252,-118.426283,1370
34.0166435,-118.4181365,1304
34.0200095,-118.4125875,1229
34.0137065,-118.424224,1356
34.009731,-118.4316705,1119
34.0038595,-118.4422725,1193
34.000385,-118.434124,1202
33.9974645,-118.439035,1137
34.0044305,-118.4228455,1295
34.0022415,-118.4275865,1028
34.00358,-118.460606,2000
33.99686,-118.4672375,1352
33.9956475,-118.472047,1245
33.99279828,-118.4770569,1211
33.98764338,-118.4696387,1323
33.993484,-118.459266,1689
33.99869,-118.452731,1430
33.9935715,-118.4512505,1395
33.98377459,-118.4640606,1870
33.9883695,-118.450146,2000
33.97183937,-118.4601234,1837
33.99916,-118.4045585,1428
33.9978895,-118.4109765,1126
33.9953035,-118.4216305,1148
33.9825085,-118.4328715,2000
33.9886515,-118.4224605,1240
33.9906355,-118.4389485,2000
33.9923405,-118.4142945,718
33.9755865,-118.414947,1999
33.986639,-118.405224,1130
33.9702295,-118.386834,2000
33.975517,-118.372532,1611
33.967988,-118.4089775,2000
33.967159,-118.4197785,1087
33.9657265,-118.432256,1615
33.9562775,-118.437016,1748
33.9567545,-118.4244035,1591
33.9712845,-118.4009375,1993
33.9660065,-118.37815,1750
33.952729,-118.381902,1265
33.949046,-118.3743515,1171
33.955837,-118.4023185,1259
33.96269392,-118.4444466,1950
33.920071,-118.2864,860
33.9127895,-118.286915,863
33.901689,-118.287002,900
33.8892885,-118.287175,1015
33.8771105,-118.2864455,926
33.8659415,-118.295352,1255
33.847758,-118.297202,1111
33.831492,-118.3041515,1025
33.8194175,-118.303755,959
33.8102215,-118.303639,1192
33.802382,-118.304171,1066
33.792616,-118.3043215,967
33.7829565,-118.303708,896
33.786479,-118.3043115,1092
33.797961,-118.2592835,1022
33.795656,-118.2471535,1000
33.794846,-118.269301,954
33.794497,-118.2807785,978
33.7848645,-118.2793115,987
33.794186,-118.288934,1183
33.7894135,-118.2958265,927
